Ticker,Company
2493.HK,"Mabwell (Shanghai) Bioscience Co., Ltd."
2691.HK,"Nanhua Futures Co., Ltd."
0901.HK,"Shenzhen SDMC Technology Co., Ltd."
1866.HK,China XLX Fertiliser Ltd.
9971.HK,"BASiC Semiconductor Co., Ltd."
0069.HK,Shangri-La Asia Limited
3918.HK,NagaCorp Ltd.
2068.HK,China Aluminum International Engineering Corporation Limited
1783.HK,Envision Greenwise Holdings Limited
0068.HK,Manycore Tech Inc.
3877.HK,CSSC (Hong Kong) Shipping Company Limited
1833.HK,Ping An Healthcare and Technology Company Limited
6682.HK,"Phancy Group Co., Ltd."
2556.HK,Marketingforce Management Ltd
1635.HK,"Shanghai Dazhong Public Utilities(Group) Co.,Ltd."
9887.HK,"Nanjing Leads Biolabs Co., Ltd."
2142.HK,HBM Holdings Limited
2675.HK,"Shenzhen Edge Medical Co., Ltd."
0639.HK,Shougang Fushan Resources Group Limited
0579.HK,"Beijing Jingneng Clean Energy Co., Limited"
0590.HK,Luk Fook Holdings (International) Limited
2778.HK,Champion Real Estate Investment Trust
2729.HK,"Zhejiang Galaxis Technology Group Co., Ltd."
3928.HK,China Next-Gen Commerce and Supply Chain Limited
0856.HK,VSTECS Holdings Limited
3339.HK,Lonking Holdings Limited
9898.HK,Weibo Corporation
2869.HK,Greentown Service Group Co. Ltd.
6675.HK,"SENASIC Electronics Technology Co., Ltd."
6199.HK,"Bank of Guizhou Co., Ltd."
2590.HK,"Beijing Geekplus Technology Co., Ltd."
1952.HK,Everest Medicines Limited
1057.HK,Zhejiang Shibao Company Limited
3268.HK,"MeiG Smart Technology Co., Ltd"
3677.HK,"Jiangsu Zenergy Battery Technologies Group Co., Ltd."
1578.HK,"Bank of Tianjin Co., Ltd."
1428.HK,Bright Smart Securities & Commodities Group Limited
9636.HK,JF SmartInvest Holdings Ltd
1316.HK,Nexteer Automotive Group Limited
0303.HK,Vtech Holdings Limited
2038.HK,FIH Mobile Limited
0152.HK,Shenzhen International Holdings Limited
1187.HK,"Cofoe Medical Technology Co.,Ltd."
0546.HK,Fufeng Group Limited
6600.HK,"OneRobotics (Shenzhen) Co., Ltd."
7687.HK,"EACON Group Co., Ltd"
2128.HK,China Lesso Group Holdings Limited
1681.HK,Consun Pharmaceutical Group Limited
9911.HK,Newborn Town Inc.
1114.HK,Brilliance China Automotive Holdings Limited
1236.HK,"Shenzhen Ldrobot Co., Ltd"
1396.HK,"Greater Bay Area AI Computing Tech Co., Ltd."
2992.HK,"Greater Bay Area AI Computing Tech Co., Ltd."
6616.HK,Global New Material International Holdings Limited
1999.HK,Man Wah Holdings Limited
1626.HK,Jia Yao Holdings Limited
6666.HK,Evergrande Property Services Group Limited
1053.HK,Chongqing Iron & Steel Company Limited
3310.HK,"Viewtrix Technology Co., Ltd"
6855.HK,Ascentage Pharma Group International
2596.HK,"Yibin City Commercial Bank Co., Ltd"
0041.HK,Great Eagle Holdings Limited
0853.HK,MicroPort Scientific Corporation
2595.HK,GenFleet Therapeutics (Shanghai) Inc.
1196.HK,Realord Technology Company Limited
2865.HK,"Hainan Drinda New Energy Technology Co., Ltd."
2272.HK,Keytop Parking Inc.
0697.HK,Shoucheng Holdings Limited
2669.HK,China Overseas Property Holdings Limited
1117.HK,China Modern Dairy Holdings Ltd.
1918.HK,Sunac China Holdings Limited
3388.HK,"Shenzhen Creality 3D Technology Co., Ltd."
2627.HK,"Ab&B Bio-Tech CO., LTD. JS"
2233.HK,West China Cement Limited
1083.HK,Towngas Smart Energy Company Limited
1112.HK,Health and Happiness (H&H) International Holdings Limited
2299.HK,Billion Industrial Holdings Limited
9637.HK,Alebund Pharmaceuticals (Jiangsu) Limited
6658.HK,"Liuliumei Co., Ltd."
1384.HK,"Deepexi Technology Co., Ltd."
0863.HK,OSL Group Limited
6938.HK,"Suzhou Ribo Life Science Co., Ltd."
0975.HK,Mongolian Mining Corporation
1330.HK,"Dynagreen Environmental Protection Group Co., Ltd."
1836.HK,Stella International Holdings Limited
1672.HK,Ascletis Pharma Inc.
2285.HK,Chervon Holdings Limited
1030.HK,Seazen Group Limited
2546.HK,"Xizang Zhihui Mining Co., Ltd."
0336.HK,Huabao International Holdings Limited
0636.HK,KLN Logistics Group Limited
3306.HK,JNBY Design Limited
1216.HK,"Zhongyuan Bank Co., Ltd."
6636.HK,"Shandong Extreme Vision Technology Co., Ltd."
3625.HK,"Shanghai FourSemi Semiconductor Co., Ltd."
2432.HK,Shenzhen Dobot Corp Ltd
1361.HK,361 Degrees International Limited
7489.HK,"VOYAH Automotive Technology Co., Ltd."
0881.HK,Zhongsheng Group Holdings Limited
0600.HK,"Axera Semiconductor Co., LTD."
1368.HK,Xtep International Holdings Limited
0116.HK,Chow Sang Sang Holdings International Limited
6872.HK,TenNor Therapeutics (Suzhou) Limited
0537.HK,"Rigol Technologies Co., Ltd."
0081.HK,China Overseas Grand Oceans Group Limited
0506.HK,China Foods Limited
1528.HK,Red Star Macalline Group Corporation Ltd.
0880.HK,SJM Holdings Limited
0754.HK,Hopson Development Holdings Limited
6808.HK,Sun Art Retail Group Limited
2025.HK,Ruifeng Power Group Company Limited
1511.HK,"Uisee Technologies (Beijing) Co., Ltd."
0467.HK,United Energy Group Limited
2797.HK,"Jiangxi Qiyunshan Food Co., Ltd."
0165.HK,China Everbright Limited
0999.HK,Xiaocaiyuan International Holding Ltd.
0297.HK,Sinofert Holdings Limited
2335.HK,"Shaanxi Micot Pharmaceutical Technology Co., Ltd."
9690.HK,TUHU Car Inc.
2155.HK,Morimatsu International Holdings Company Limited
2666.HK,Genertec Universal Medical Group Company Limited
1191.HK,"Crealights Technology Co., Ltd."
2616.HK,CStone Pharmaceuticals
2632.HK,"Jiangsu New Vision Automotive Electronics, Co., Ltd"
9638.HK,Ferretti S.p.A.
